fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,type
MediumHigh,MediumLow,MediumLow,MediumLow,Medium,Medium,Medium,Red
MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,High,MediumHigh,White
Medium,MediumLow,Medium,Medium,MediumHigh,MediumLow,High,White
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,High,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
High,High,High,MediumHigh,MediumHigh,High,MediumLow,White
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
Medium,High,MediumHigh,High,Medium,MediumHigh,MediumLow,White
High,Medium,Medium,MediumLow,MediumLow,High,MediumHigh,Red
Medium,High,High,High,MediumHigh,High,MediumHigh,White
High,MediumHigh,Medium,Medium,High,High,High,Red
High,MediumHigh,MediumLow,MediumLow,High,MediumHigh,Medium,Red
MediumHigh,MediumHigh,MediumLow,Medium,MediumHigh,MediumHigh,Medium,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,White
MediumHigh,High,MediumHigh,Medium,MediumLow,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,Medium,White
Medium,High,High,High,MediumLow,MediumHigh,Medium,White
High,MediumHigh,High,High,MediumHigh,High,Medium,White
MediumLow,High,Medium,Medium,High,MediumLow,MediumHigh,White
Medium,MediumHigh,MediumHigh,Medium,Medium,Medium,High,White
Medium,High,High,High,Medium,Medium,MediumLow,White
Medium,High,MediumHigh,High,MediumHigh,MediumLow,MediumLow,White
Medium,MediumLow,Medium,Medium,MediumLow,MediumHigh,High,White
MediumHigh,MediumLow,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,MediumLow,High,Medium,MediumLow,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,Red
Medium,High,Medium,Medium,MediumLow,MediumLow,MediumLow,White
High,MediumHigh,High,High,MediumLow,MediumLow,High,White
MediumHigh,Medium,MediumHigh,High,High,MediumHigh,Medium,White
High,MediumLow,MediumLow,Medium,Medium,MediumLow,Medium,White
High,High,High,MediumHigh,MediumLow,MediumLow,MediumLow,White
High,Medium,Medium,MediumLow,MediumHigh,High,Medium,Red
MediumLow,MediumLow,High,High,MediumHigh,Medium,Medium,White
MediumLow,MediumLow,MediumHigh,MediumLow,High,Medium,High,White
High,Medium,MediumLow,MediumLow,MediumLow,Medium,High,White
Medium,Medium,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,White
MediumLow,MediumLow,High,Medium,MediumHigh,MediumLow,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,Medium,Medium,Red
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
MediumLow,MediumLow,High,High,MediumLow,Medium,Medium,White
Medium,MediumLow,MediumHigh,Medium,Medium,Medium,Medium,White
Medium,High,High,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
MediumLow,MediumHigh,High,High,Medium,Medium,MediumLow,White
Medium,Medium,MediumLow,MediumLow,High,High,High,Red
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
High,Medium,Medium,MediumHigh,High,High,MediumLow,Red
Medium,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,High,White
MediumHigh,High,High,MediumHigh,High,MediumLow,MediumLow,White
High,Medium,Medium,MediumHigh,MediumLow,High,Medium,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,MediumHigh,White
MediumLow,Medium,Medium,High,Medium,High,High,White
MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Medium,Medium,White
MediumHigh,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,Red
High,Medium,Medium,MediumLow,High,High,MediumLow,Red
MediumHigh,Medium,Medium,MediumHigh,Medium,Medium,MediumHigh,White
Medium,High,High,High,Medium,High,Medium,White
MediumHigh,MediumLow,Medium,Medium,Medium,MediumLow,Medium,White
High,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,Medium,Red
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
Medium,Medium,Medium,Medium,Medium,MediumLow,MediumLow,White
Medium,MediumLow,High,MediumHigh,MediumHigh,Medium,MediumHigh,White
MediumLow,MediumHigh,Medium,Medium,High,MediumHigh,MediumHigh,White
MediumHigh,MediumLow,MediumHigh,MediumHigh,High,Medium,MediumHigh,White
High,High,High,High,MediumLow,Medium,Medium,White
MediumLow,High,Medium,MediumHigh,High,Medium,Medium,White
MediumHigh,High,MediumLow,MediumHigh,MediumLow,Medium,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
Medium,Medium,MediumHigh,Medium,High,High,MediumHigh,White
Medium,Medium,MediumHigh,Medium,MediumHigh,High,High,White
MediumHigh,High,MediumHigh,MediumHigh,High,MediumLow,MediumLow,White
Medium,High,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,White
High,Medium,Medium,MediumLow,High,High,High,Red
High,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,White
Medium,MediumLow,MediumHigh,Medium,High,Medium,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,MediumHigh,White
Medium,High,MediumHigh,Medium,MediumLow,MediumLow,High,White
High,MediumLow,Medium,Medium,MediumLow,Medium,High,White
High,Medium,MediumLow,MediumLow,High,Medium,Medium,Red
High,Medium,Medium,High,MediumLow,Medium,High,White
Medium,High,High,High,Medium,MediumHigh,Medium,White
MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Red
MediumLow,MediumLow,High,High,Medium,Medium,Medium,White
MediumHigh,Medium,MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,White
Medium,MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,White
Medium,MediumLow,Medium,Medium,MediumLow,Medium,High,White
High,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,MediumLow,MediumHigh,MediumHigh,High,Medium,High,White
Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Medium,White
MediumHigh,Medium,Medium,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,MediumLow,Medium,Medium,MediumHigh,MediumLow,High,White
MediumHigh,High,High,MediumHigh,MediumLow,MediumHigh,Medium,White
MediumLow,MediumHigh,High,High,Medium,Medium,MediumLow,White
Medium,High,High,High,MediumHigh,MediumLow,MediumLow,White
MediumHigh,MediumHigh,MediumHigh,Medium,Medium,MediumLow,Medium,White
MediumHigh,MediumHigh,MediumHigh,High,MediumLow,High,High,White
High,MediumHigh,High,Medium,MediumHigh,MediumLow,High,White
MediumHigh,MediumHigh,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,White
Medium,High,MediumHigh,High,Medium,MediumHigh,MediumLow,White
High,MediumLow,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
MediumLow,MediumLow,MediumLow,Medium,High,High,High,Red
MediumLow,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,MediumHigh,White
Medium,High,High,Medium,Medium,MediumLow,Medium,White
High,Medium,MediumHigh,MediumLow,Medium,High,High,Red
MediumLow,MediumLow,Medium,MediumHigh,High,MediumLow,Medium,White
High,Medium,High,MediumHigh,High,Medium,MediumHigh,White
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,High,High,White
MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,White
MediumLow,Medium,High,High,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,High,White
Medium,High,Medium,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
High,High,High,High,MediumLow,High,MediumLow,White
MediumHigh,Medium,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
MediumLow,Medium,Medium,Medium,Medium,Medium,MediumHigh,White
Medium,MediumLow,MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumLow,Red
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,High,White
MediumLow,MediumLow,High,Medium,High,MediumLow,MediumHigh,White
High,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,High,White
MediumHigh,MediumHigh,Medium,Medium,Medium,MediumHigh,MediumLow,Red
Medium,High,High,High,High,Medium,Medium,White
MediumHigh,MediumHigh,MediumHigh,Medium,Medium,MediumLow,MediumHigh,White
MediumHigh,High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,White
High,High,High,High,MediumLow,High,Medium,White
Medium,MediumHigh,MediumHigh,Medium,Medium,MediumLow,MediumHigh,White
Medium,MediumLow,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,MediumHigh,MediumHigh,High,High,MediumLow,Medium,White
MediumLow,Medium,Medium,Medium,MediumLow,MediumLow,High,White
High,High,High,High,MediumHigh,High,MediumLow,White
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
Medium,High,High,High,MediumLow,High,MediumLow,White
MediumLow,MediumLow,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumLow,Medium,Red
High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumLow,Medium,High,MediumHigh,Medium,MediumLow,High,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,MediumHigh,White
Medium,MediumLow,MediumLow,MediumLow,High,MediumHigh,Medium,Red
High,MediumHigh,MediumLow,MediumLow,High,Medium,MediumLow,Red
MediumHigh,High,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,White
MediumHigh,MediumHigh,MediumLow,Medium,Medium,High,Medium,White
High,Medium,High,MediumLow,MediumHigh,High,High,Red
High,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,Red
High,MediumLow,High,MediumHigh,High,MediumLow,MediumLow,White
High,High,MediumHigh,High,High,Medium,Medium,White
High,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,MediumHigh,Red
Medium,High,High,High,Medium,MediumHigh,Medium,White
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,High,Red
MediumHigh,Medium,Medium,Medium,MediumHigh,MediumHigh,Medium,Red
High,Medium,Medium,MediumLow,MediumHigh,High,High,Red
High,Medium,MediumLow,Medium,MediumLow,High,Medium,Red
MediumLow,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
High,Medium,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,Red
High,High,High,High,MediumLow,MediumLow,Medium,White
Medium,High,High,MediumHigh,Medium,MediumHigh,Medium,White
Medium,High,Medium,Medium,MediumLow,MediumLow,High,White
MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,Medium,White
MediumLow,MediumHigh,High,Medium,Medium,Medium,High,White
MediumLow,High,MediumHigh,High,Medium,Medium,MediumLow,White
MediumLow,Medium,Medium,Medium,High,MediumLow,MediumLow,White
High,MediumHigh,Medium,MediumLow,High,High,High,Red
Medium,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,Medium,High,MediumHigh,MediumLow,MediumLow,High,White
Medium,MediumHigh,MediumLow,Medium,MediumLow,High,High,White
Medium,MediumLow,Medium,MediumHigh,MediumHigh,MediumLow,High,White
MediumHigh,MediumHigh,High,MediumHigh,MediumLow,High,High,White
MediumHigh,MediumHigh,MediumLow,Medium,High,High,MediumHigh,Red
MediumHigh,MediumHigh,High,Medium,Medium,Medium,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
MediumLow,Medium,Medium,MediumHigh,High,High,High,White
MediumLow,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
Medium,MediumHigh,MediumLow,Medium,MediumLow,Medium,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumLow,MediumHigh,White
High,MediumLow,Medium,Medium,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
Medium,High,High,MediumHigh,MediumLow,High,MediumHigh,White
Medium,MediumHigh,Medium,Medium,Medium,MediumLow,Medium,White
Medium,Medium,MediumHigh,Medium,Medium,Medium,High,White
MediumLow,MediumLow,Medium,Medium,High,MediumLow,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,Medium,Red
MediumLow,MediumLow,MediumHigh,High,MediumHigh,High,Medium,White
MediumHigh,MediumLow,Medium,MediumHigh,Medium,High,Medium,White
High,High,MediumHigh,MediumHigh,High,Medium,Medium,White
High,Medium,MediumLow,MediumLow,Medium,High,High,Red
Medium,High,Medium,MediumHigh,MediumLow,Medium,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,High,Red
Medium,High,High,MediumHigh,MediumLow,MediumHigh,Medium,White
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,High,White
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,High,High,White
MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,MediumLow,White
MediumLow,High,Medium,Medium,High,Medium,High,White
High,MediumLow,Medium,Medium,MediumLow,MediumLow,MediumHigh,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumLow,Medium,MediumLow,Medium,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumLow,Medium,High,MediumLow,MediumLow,White
High,MediumHigh,MediumLow,Medium,Medium,MediumLow,High,White
MediumLow,MediumLow,High,MediumHigh,Medium,High,Medium,White
Medium,High,High,High,MediumHigh,MediumHigh,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
Medium,MediumHigh,Medium,MediumHigh,Medium,MediumLow,MediumLow,White
MediumLow,MediumLow,Medium,Medium,Medium,MediumHigh,MediumHigh,White
Medium,MediumHigh,High,MediumHigh,Medium,MediumLow,High,White
Medium,MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
High,High,MediumHigh,High,Medium,MediumLow,MediumLow,White
Medium,Medium,Medium,MediumLow,MediumHigh,High,High,Red
MediumLow,MediumLow,MediumHigh,MediumLow,Medium,MediumLow,High,White
MediumHigh,High,High,MediumHigh,Medium,Medium,Medium,White
Medium,MediumLow,Medium,MediumHigh,MediumHigh,MediumLow,High,White
MediumHigh,High,MediumHigh,High,MediumLow,MediumHigh,Medium,White
MediumHigh,High,High,MediumHigh,MediumLow,MediumHigh,Medium,White
Medium,High,High,High,MediumLow,High,MediumLow,White
MediumHigh,MediumHigh,Medium,Medium,Medium,MediumHigh,Medium,Red
MediumLow,MediumLow,Medium,Medium,Medium,Medium,Medium,White
MediumHigh,High,MediumHigh,High,MediumLow,Medium,MediumLow,White
Medium,MediumHigh,High,High,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,Medium,MediumHigh,Medium,High,Medium,White
High,High,MediumLow,MediumLow,Medium,High,MediumLow,Red
Medium,MediumHigh,Medium,MediumLow,Medium,MediumLow,Medium,White
MediumHigh,High,High,High,High,High,MediumLow,White
Medium,High,Medium,High,Medium,MediumHigh,MediumLow,White
High,MediumHigh,Medium,MediumLow,MediumHigh,MediumHigh,Medium,Red
MediumLow,MediumHigh,Medium,Medium,High,Medium,MediumHigh,White
High,MediumLow,High,High,MediumLow,Medium,MediumHigh,White
MediumLow,MediumHigh,High,High,High,MediumLow,High,White
MediumHigh,MediumHigh,High,MediumHigh,Medium,MediumLow,High,White
Medium,High,MediumLow,MediumLow,MediumLow,MediumLow,High,White
MediumHigh,High,High,High,High,MediumLow,MediumLow,White
High,Medium,Medium,MediumHigh,MediumHigh,High,MediumLow,Red
MediumLow,Medium,Medium,MediumLow,High,MediumHigh,MediumHigh,Red
High,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
High,High,MediumLow,MediumHigh,MediumLow,MediumLow,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Red
Medium,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,Medium,White
MediumLow,MediumHigh,High,MediumHigh,High,Medium,High,White
MediumHigh,MediumLow,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumHigh,MediumLow,Medium,MediumLow,High,MediumHigh,MediumHigh,Red
Medium,High,High,MediumHigh,High,High,MediumHigh,White
MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
MediumLow,Medium,Medium,MediumLow,High,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
Medium,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,MediumHigh,High,MediumHigh,High,Medium,MediumLow,White
High,High,High,High,MediumLow,High,MediumLow,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
MediumHigh,High,High,MediumHigh,MediumLow,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,Medium,MediumHigh,White
High,High,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,White
MediumHigh,MediumHigh,Medium,Medium,MediumHigh,High,High,White
MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,High,White
High,MediumHigh,MediumHigh,Medium,Medium,MediumHigh,High,White
MediumLow,MediumHigh,High,MediumHigh,High,Medium,MediumHigh,White
Medium,MediumHigh,High,High,MediumHigh,Medium,Medium,White
High,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,MediumHigh,Medium,MediumLow,High,High,MediumHigh,Red
High,MediumHigh,Medium,Medium,Medium,MediumHigh,High,White
MediumHigh,MediumHigh,MediumHigh,High,High,MediumHigh,Medium,White
Medium,MediumHigh,High,Medium,Medium,Medium,Medium,Red
MediumHigh,Medium,High,MediumLow,MediumLow,MediumLow,MediumLow,Red
High,Medium,Medium,MediumLow,MediumHigh,High,MediumHigh,Red
MediumHigh,Medium,MediumHigh,Medium,Medium,Medium,MediumHigh,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,High,High,Red
MediumHigh,MediumHigh,High,High,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,Medium,MediumHigh,White
MediumLow,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,White
High,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,MediumHigh,White
High,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumLow,MediumHigh,Medium,Medium,High,MediumHigh,High,White
Medium,MediumLow,Medium,High,MediumHigh,Medium,MediumHigh,White
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
High,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,High,Red
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,White
Medium,MediumLow,MediumLow,High,High,Medium,MediumHigh,White
High,MediumHigh,High,High,Medium,MediumHigh,Medium,White
MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,High,White
Medium,Medium,Medium,MediumLow,High,High,Medium,Red
Medium,MediumLow,Medium,Medium,MediumHigh,High,High,White
MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,MediumHigh,High,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
MediumLow,MediumLow,Medium,MediumLow,High,MediumLow,High,White
MediumHigh,High,High,High,Medium,Medium,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
High,Medium,Medium,MediumLow,High,High,MediumLow,Red
Medium,High,MediumHigh,Medium,MediumHigh,Medium,Medium,White
MediumLow,High,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,White
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumLow,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,High,High,High,MediumLow,MediumHigh,MediumLow,White
Medium,MediumHigh,Medium,Medium,MediumLow,High,High,White
Medium,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,White
MediumHigh,MediumLow,High,High,MediumHigh,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,Medium,Red
Medium,Medium,MediumHigh,Medium,High,High,MediumHigh,White
Medium,Medium,Medium,MediumHigh,Medium,MediumHigh,High,White
High,Medium,Medium,Medium,MediumLow,Medium,Medium,White
MediumLow,High,Medium,MediumHigh,MediumHigh,Medium,Medium,White
MediumHigh,MediumHigh,Medium,Medium,MediumLow,MediumHigh,High,White
MediumHigh,MediumHigh,MediumHigh,High,Medium,Medium,MediumLow,White
Medium,MediumHigh,High,High,MediumHigh,Medium,Medium,White
High,Medium,MediumHigh,MediumLow,MediumHigh,High,MediumHigh,Red
MediumLow,MediumHigh,Medium,Medium,High,Medium,MediumLow,White
MediumHigh,MediumHigh,High,High,Medium,MediumLow,Medium,White
MediumLow,High,Medium,MediumHigh,MediumHigh,Medium,Medium,White
MediumLow,Medium,MediumLow,Medium,MediumLow,MediumHigh,MediumLow,White
Medium,High,MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,White
MediumHigh,High,Medium,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,High,High,High,Medium,MediumHigh,MediumLow,White
MediumHigh,MediumLow,MediumHigh,Medium,High,MediumHigh,Medium,White
MediumLow,High,High,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,Medium,Medium,Medium,Medium,MediumLow,White
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
MediumLow,High,High,High,High,Medium,MediumLow,White
Medium,High,MediumHigh,High,Medium,Medium,MediumLow,White
MediumLow,Medium,MediumHigh,Medium,MediumHigh,High,High,White
MediumHigh,High,High,MediumHigh,MediumLow,Medium,MediumHigh,White
High,High,High,High,MediumLow,Medium,MediumLow,White
High,Medium,Medium,MediumLow,Medium,High,MediumHigh,Red
High,MediumHigh,Medium,MediumLow,Medium,High,Medium,Red
High,Medium,Medium,MediumLow,High,MediumHigh,Medium,Red
Medium,MediumLow,MediumLow,MediumLow,High,High,Medium,Red
Medium,Medium,MediumHigh,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,MediumLow,MediumLow,MediumHigh,Medium,Medium,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,Medium,Red
High,MediumHigh,High,MediumHigh,Medium,MediumLow,High,White
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
MediumLow,High,High,MediumHigh,Medium,MediumHigh,MediumLow,White
High,MediumHigh,Medium,Medium,Medium,High,High,Red
Medium,MediumHigh,MediumLow,MediumHigh,MediumHigh,MediumLow,MediumLow,White
Medium,MediumLow,High,MediumHigh,MediumHigh,MediumLow,High,White
High,Medium,MediumLow,Medium,MediumHigh,High,Medium,Red
High,Medium,MediumLow,MediumLow,Medium,High,MediumHigh,Red
High,High,Medium,High,MediumLow,High,MediumLow,White
MediumLow,MediumHigh,High,MediumHigh,Medium,Medium,High,White
Medium,High,Medium,Medium,Medium,Medium,Medium,White
Medium,MediumHigh,MediumHigh,Medium,Medium,MediumLow,MediumHigh,White
High,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,Medium,White
Medium,MediumLow,Medium,High,MediumHigh,High,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
High,Medium,MediumLow,MediumLow,Medium,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
High,High,High,High,MediumHigh,High,MediumLow,White
Medium,MediumLow,Medium,Medium,MediumLow,MediumHigh,High,White
High,Medium,Medium,MediumLow,High,High,High,Red
Medium,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,High,White
Medium,High,High,High,MediumLow,Medium,MediumLow,White
MediumHigh,Medium,Medium,Medium,MediumLow,MediumHigh,MediumHigh,White
Medium,High,High,High,MediumHigh,Medium,MediumLow,White
High,MediumLow,MediumLow,MediumLow,Medium,Medium,Medium,Red
High,High,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
Medium,MediumHigh,Medium,Medium,High,Medium,MediumHigh,White
MediumHigh,High,MediumHigh,MediumHigh,Medium,MediumLow,Medium,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,Medium,High,White
Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
MediumLow,High,MediumHigh,High,High,High,Medium,White
MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumLow,MediumHigh,High,MediumHigh,MediumLow,MediumLow,High,White
MediumLow,MediumLow,High,High,High,Medium,MediumHigh,White
MediumHigh,High,High,High,High,High,MediumLow,White
MediumLow,High,High,High,High,MediumHigh,MediumHigh,Red
High,MediumLow,MediumLow,Medium,Medium,MediumHigh,Medium,White
Medium,MediumLow,MediumHigh,High,Medium,MediumHigh,MediumLow,White
MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,High,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Red
MediumHigh,High,Medium,High,High,Medium,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumHigh,Red
MediumHigh,Medium,High,High,MediumHigh,MediumHigh,High,White
MediumLow,Medium,Medium,MediumHigh,High,MediumLow,High,White
MediumHigh,Medium,MediumHigh,High,MediumHigh,MediumLow,High,White
MediumHigh,MediumLow,MediumLow,MediumLow,High,Medium,Medium,White
MediumLow,High,Medium,Medium,MediumLow,Medium,MediumLow,White
MediumLow,High,High,High,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,MediumLow,MediumLow,MediumHigh,MediumLow,MediumLow,Medium,White
High,High,Medium,High,MediumLow,High,MediumLow,White
Medium,MediumLow,Medium,MediumHigh,MediumLow,MediumHigh,Medium,White
MediumLow,MediumHigh,Medium,MediumHigh,High,High,MediumHigh,White
MediumHigh,MediumHigh,MediumHigh,High,High,MediumLow,Medium,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumHigh,MediumHigh,White
